p,ct,sa,gl_sf_mask,ml_sf_mask
377,11.413120796614397,35.569622762541655,True,True
378,11.413120796614397,35.56829498708734,True,True
379,11.413120796614397,35.56594337813018,True,True
380,11.413377047532668,35.56594337813018,True,True
381,11.413782764486267,35.56594337813018,True,True
382,11.413782764486267,35.56481116671815,True,True
383,11.413377047532668,35.56312235615657,True,True
384,11.413377047532668,35.56188445165709,True,True
385,11.413782764486267,35.56022585894237,True,True
386,11.413793200026744,35.56022585894237,True,True
387,11.4172026226198,35.56022585894237,True,True
388,11.428437910564648,35.5647251121477,True,True
389,11.436069736334796,35.56681848392387,True,True
390,11.43797162309733,35.56706443761935,True,False
391,11.43797162309733,35.56739352090052,True,False
392,11.43797162309733,35.56739352090052,True,False
393,11.435161128273757,35.56681848392387,False,True
394,11.165735302623975,35.531721696669656,False,True
395,10.915934839574891,35.46508652395923,False,True
396,10.776493576847091,35.46444329897727,False,True
397,10.693727334801595,35.46041429138933,False,True
398,10.673361691076122,35.44677123849788,False,True
399,10.614650424797391,35.443776120824936,False,True
400,10.614650424797391,35.443291373460895,False,True
401,10.614650424797391,35.44131604863056,False,True
402,10.615464549603162,35.44047181329565,False,True
403,10.615464549603162,35.44007907160663,False,True
404,10.615464549603162,35.43849362780722,False,True
405,10.614244953839886,35.43563493653491,False,True
406,10.614242512527715,35.43419696340298,False,True
407,10.614242512527715,35.43387587831266,True,False
408,10.614244953839886,35.43365173613326,True,False
409,10.614406164489518,35.43344228128703,True,False
410,10.614828117517767,35.43320567141089,True,False
411,10.614860077033708,35.433287263675965,True,False
412,10.615702306695468,35.43344228128703,True,False
413,10.61784161969363,35.433287263675965,True,False
414,10.61784161969363,35.433287263675965,True,False
415,10.618525810247435,35.43337425535291,True,False
416,10.618703435685356,35.43337425535291,True,False
417,10.618703435685356,35.43337425535291,True,False
418,10.618703435685356,35.43392489102698,True,False
419,10.62029096642754,35.43418259034888,True,False
420,10.6216525170382,35.4343087985654,True,False
421,10.622663669527398,35.43453445746351,True,False
422,10.624450231371087,35.43495446859396,True,False
423,10.62523700483538,35.43520689014356,True,False
424,10.628899261434098,35.43586108710261,True,True
425,10.62969543317357,35.436616364688035,True,False
426,10.629739191138892,35.43664664107829,True,False
427,10.630641339369223,35.43705172243853,True,False
428,10.630641339369223,35.43722941676553,True,False
429,10.630641339369223,35.43722941676553,False,True
430,10.623427950439144,35.43722941676553,False,True
431,10.323492745909588,35.41453549183186,False,True
432,9.976112924722315,35.35674780037469,False,True
433,9.974429037831795,35.35674780037469,False,True
434,9.973019569143569,35.35448223681561,False,True
435,9.973019569143569,35.35448223681561,False,True
436,9.973019569143569,35.35448223681561,False,True
437,9.973869427895815,35.35071377271936,False,True
438,9.974242718969077,35.34896045839998,False,True
439,9.974414838201517,35.34672964658139,False,True
440,9.978018656833449,35.345771834856365,False,True
441,9.978383904676257,35.34521741504692,False,True
442,9.978391756843893,35.343819142914306,False,True
443,9.978391756843893,35.343674116339294,True,False
444,9.978641372296591,35.343289231375635,True,False
445,9.978836775519891,35.343313235353484,True,False
446,9.978836775519891,35.3429495849693,True,False
447,9.978836775519891,35.34272021921318,True,False
448,9.979221834455712,35.34261026637476,True,False
449,9.979221834455712,35.34261026637476,True,False
450,9.97947331605995,35.34261026637476,True,False
451,9.980116584036088,35.34261026637476,True,False
452,9.980116584036088,35.3428146170459,True,False
453,9.980116584036088,35.34283934815252,True,False
454,9.980116584036088,35.34309563565772,True,False
455,9.980435211599136,35.3428146170459,True,False
456,9.980884762445507,35.34309563565772,True,False
457,9.981645848395411,35.343617152388575,True,False
458,9.982332845619728,35.34370102612681,True,False
459,9.982332845619728,35.343719519969525,True,False
460,9.982332845619728,35.343719519969525,False,True
461,9.959279099528976,35.343719519969525,False,True
462,9.518886334200754,35.27504574746627,False,True
463,9.458675135291951,35.27504574746627,False,True
464,9.452596414566711,35.27504574746627,False,True
465,9.450286048038224,35.27504574746627,True,False
466,9.450286048038224,35.27504574746627,True,False
467,9.450286048038224,35.27492394146671,True,True
468,9.45129161025367,35.27315041099044,True,True
469,9.45177148293998,35.27150065934302,True,True
470,9.45177148293998,35.26858497154052,True,True
471,9.451922432109267,35.267469839969166,True,True
472,9.451922432109267,35.26732300895247,True,True
473,9.451952323998018,35.267141039069315,True,True
474,9.452034747996024,35.26671103819903,True,True
475,9.452034747996024,35.26663288574956,True,True
476,9.452034747996024,35.26649116139768,True,True
477,9.452006813205696,35.266026667767434,True,True
478,9.451942493742308,35.26591753660231,True,True
479,9.451345718940974,35.26531828754696,True,True
480,9.45126475707773,35.26525421464555,True,True
481,9.45126475707773,35.26473647910521,True,True
482,9.450723013137528,35.26473647910521,True,True
483,9.450246077517642,35.264324026320004,True,True
484,9.450246077517642,35.26393407800039,True,True
485,9.450306892293565,35.26393407800039,True,True
486,9.450306892293565,35.264258775235,True,True
487,9.45042479677938,35.264258775235,True,True
488,9.45042479677938,35.264258775235,True,True
489,9.45042479677938,35.264258775235,True,True
490,9.44858248221341,35.2638405701594,True,True
491,9.31760293760904,35.258686874923214,True,True
492,9.065923218487043,35.20722653040872,True,True
493,8.995348741852982,35.20722653040872,True,True
494,8.993704085604968,35.20692158826611,True,True
495,8.991282775963118,35.20692158826611,True,True
496,8.991255080313627,35.20692158826611,True,True
497,8.991255080313627,35.205209950572815,True,True
498,8.991255080313627,35.204562089828656,True,True
499,8.991766748476095,35.202192734248314,True,True
500,8.991931327231327,35.20178446347815,True,True
501,8.992013459744618,35.20047304323002,True,True
502,8.992491520953056,35.199229024845934,True,True
503,8.99285677484566,35.19922321428102,True,True
504,8.99285677484566,35.198978194407594,True,True
505,8.99285677484566,35.19891846342402,True,True
506,8.99285677484566,35.19886705491605,True,True
507,8.992037773553779,35.19710658676773,True,True
508,8.991808999277918,35.19707099106732,True,True
509,8.991770900277,35.19707099106732,True,True
510,8.991770900277,35.19707099106732,True,True
511,8.984677296631048,35.19707099106732,True,True
512,8.84418891805371,35.175683860127094,True,True
513,8.751016549931142,35.15035153330884,True,True
514,8.71168421336873,35.14646340696152,True,True
515,8.614430690466172,35.14646340696152,True,True
516,8.599358466428928,35.147871118981854,True,True
517,8.599220420012134,35.14596335025027,True,True
518,8.599209562155902,35.14596335025027,True,True
519,8.599209562155902,35.14596335025027,True,True
520,8.599209562155902,35.144476513075645,True,True
521,8.59930353447778,35.143948190144926,True,True
522,8.59951260312356,35.14353043940104,True,True
523,8.59961024182663,35.14211959085763,True,True
524,8.599662175278326,35.14105661794106,True,False
525,8.599792787135478,35.140893620558884,True,False
526,8.599792787135478,35.140815520012325,True,False
527,8.599825247123384,35.140815520012325,True,False
528,8.599826972112169,35.140815520012325,True,False
529,8.599792787135478,35.14055553778768,True,False
530,8.5997569877448,35.140280366207804,True,False
531,8.599134130960703,35.14020233042524,True,False
532,8.59904383031337,35.14008809686067,True,False
533,8.599009432594277,35.13986959659969,True,False
534,8.599009432594277,35.14008809686067,True,False
535,8.598933504999444,35.13990773648116,True,False
536,8.598930170820886,35.13990773648116,True,False
537,8.598570846223154,35.13990773648116,False,True
538,8.581337623457566,35.13990773648116,False,True
539,8.395617545371739,35.106506606286246,False,True
540,8.291695817818947,35.1048993853787,False,True
541,8.291209789718307,35.1048993853787,False,True
542,8.28728256606908,35.10357062407991,True,False
543,8.284618849438463,35.10357062407991,True,False
544,8.283591476839739,35.10357062407991,True,False
545,8.282841922580827,35.101986860689486,True,True
546,8.282841922580827,35.10161785587908,True,True
547,8.282841922580827,35.0994047423939,True,True
548,8.28213423503001,35.099264685195934,True,True
549,8.28212417890747,35.09852272941144,True,True
550,8.281508075396122,35.09841966032677,True,True
551,8.281136563830724,35.09826043287931,True,True
552,8.281136563830724,35.09818351249771,True,True
553,8.280768228253915,35.097792066661675,True,True
554,8.280569575480323,35.09726784507985,True,True
555,8.280273436257783,35.09726784507985,True,True
556,8.280066299686123,35.09729524933249,True,True
557,8.280066299686123,35.097259604187656,True,True
558,8.280066299686123,35.09729524933249,True,True
559,8.280066299686123,35.09757028193522,True,True
560,8.280018243607877,35.09729524933249,True,True
561,8.27765358405167,35.097259604187656,True,True
562,8.176863082577375,35.08225284446823,True,True
563,8.119922498931578,35.072270839363284,True,True
564,8.048795528854743,35.06240667615199,True,True
565,8.03401778311669,35.06129227706748,True,True
566,7.987246716006576,35.05740295156375,True,True
567,7.917902742259335,35.04854193131959,True,True
568,7.90248728116531,35.04734246547541,True,True
569,7.885786573365067,35.04633691521684,True,True
570,7.877560995281777,35.043707798293134,True,True
571,7.865176553056875,35.04238791891157,True,True
572,7.839676211049307,35.03695068908995,True,True
573,7.837011963555865,35.03682103322371,True,True
574,7.82349791368286,35.03526812499542,True,True
575,7.809638769329656,35.0315295300576,True,True
576,7.797209682086287,35.03075354589476,True,True
577,7.789444086621322,35.02859096305852,True,True
578,7.785393359920135,35.0283090988587,True,True
579,7.784318135391046,35.0283090988587,True,True
580,7.784156363310871,35.02784924742544,True,True
581,7.780812170710208,35.02784924742544,True,True
582,7.762408333446131,35.02371637478036,True,True
583,7.754423034757788,35.022526428667405,True,True
584,7.724732728054865,35.01983381939255,True,True
585,7.696233354725759,35.01434754282138,True,True
586,7.679974073617393,35.01370153704332,True,True
587,7.664651666460191,35.01236462936548,True,True
588,7.619584945282245,35.00661804890885,True,True
589,7.55123188475779,34.996294131236404,True,True
590,7.527387452540936,34.99153201702788,True,True
591,7.501166302834056,34.9903704875679,True,True
592,7.480832087497593,34.99006829865131,True,True
593,7.468116034885545,34.98883102571061,True,True
594,7.4612071730368035,34.9887935231489,True,True
595,7.458011578042187,34.987951861886344,True,True
596,7.458011578042187,34.987951861886344,True,True
597,7.458011578042187,34.987951861886344,True,True
598,7.495227082725245,34.99435567107037,True,True
599,7.502850101172266,35.000025060841224,True,True
600,7.502850101172266,35.000025060841224,True,True
601,7.504121287921214,35.00129156411323,True,True
602,7.502850101172266,35.00129156411323,True,True
603,7.500957407055939,35.00087169547911,True,True
604,7.496335697581578,35.00087169547911,True,True
605,7.4911585688924704,35.00129156411323,True,True
606,7.488841180348791,35.00147910001328,True,True
607,7.485156113863896,35.00087169547911,True,True
608,7.476979953304477,35.00077514178324,True,True
609,7.450747743825406,34.997127998532605,True,True
610,7.439485596888419,34.99569441101448,True,True
611,7.424422702702427,34.99534505855162,True,True
612,7.419855969123064,34.99534505855162,True,True
613,7.414682732632453,34.99475573701784,True,True
614,7.39531346851129,34.994034186948575,True,True
615,7.384875520524382,34.99475573701784,True,True
616,7.373673153399876,34.994034186948575,True,True
617,7.372444257526901,34.983132921872304,True,True
618,7.321554780347449,34.98229170510029,True,True
619,7.306141617596565,34.979169396478554,True,True
620,7.294540972642118,34.97689636279193,True,True
621,7.249716233171748,34.97480957788022,True,True
622,7.239741228951411,34.97480957788022,True,True
623,7.239468082851342,34.97480957788022,True,True
624,7.239340608149073,34.97444890554637,True,True
625,7.239340608149073,34.97444890554637,True,True
626,7.216884591925169,34.97229527191599,True,True
627,7.174806870290225,34.96582181674438,True,True
628,7.174806870290225,34.96582181674438,True,True
629,7.174806870290225,34.96582181674438,True,True
630,7.17313654538809,34.96582181674438,True,True
631,7.17313654538809,34.96582181674438,True,True
632,7.156387597750868,34.96266260076914,True,True
633,7.144448285106395,34.9583578399478,True,True
634,7.121356339627518,34.95677982253318,True,True
635,7.111034796742203,34.956478645126765,True,True
636,7.094030592501924,34.956061197706816,True,True
637,7.071114017732684,34.951795387263765,True,True
638,7.063395305329571,34.951795387263765,True,True
639,7.062423192374279,34.951781721805375,True,True
640,7.057295598886855,34.950678340299426,True,True
641,7.033019101412281,34.94712345355383,True,True
642,6.99176622427618,34.944299540070894,True,True
643,6.99176622427618,34.944299540070894,True,True
644,6.989692406925102,34.944299540070894,True,True
645,6.979902179054756,34.944299540070894,True,True
646,6.979120807056121,34.944299540070894,True,True
647,6.967192771673131,34.94169052758754,True,True
648,6.948265589029653,34.93994547188859,True,True
649,6.928828471935028,34.937533649835224,True,True
650,6.921236167595507,34.937412501156295,True,True
651,6.912531397643261,34.936722828259335,True,True
652,6.908926055506095,34.93618164131453,True,True
653,6.903225722184408,34.93480438344059,True,True
654,6.894483372105214,34.93357052251152,True,True
655,6.891253705764028,34.93332430241016,True,True
656,6.8863011359876936,34.93319178674674,True,True
657,6.878177158375088,34.93277139688131,True,True
658,6.877760875632186,34.93277139688131,True,True
659,6.872851132385663,34.93163202001715,True,True
660,6.842254829618588,34.93163202001715,True,True
661,6.777427711367613,34.918929345038045,True,True
662,6.772714312483814,34.91613545823125,True,True
663,6.760682325478485,34.91613545823125,True,True
664,6.74561777645563,34.91849287010464,True,True
665,6.74561777645563,34.91849287010464,True,True
666,6.74561777645563,34.91847598398783,True,True
667,6.74561777645563,34.91847598398783,True,True
668,6.74561777645563,34.918144429060725,True,True
669,6.737905348557398,34.916846191136834,True,True
670,6.71750017043556,34.914372912382525,True,True
671,6.71750017043556,34.914372912382525,True,True
672,6.715151299730626,34.914372912382525,True,True
673,6.713922384712898,34.91720608064415,True,True
674,6.713599002163685,34.91720608064415,True,True
675,6.7077502750293885,34.91720608064415,True,True
676,6.69280768272361,34.9161285337896,True,True
677,6.677540455946994,34.913169340712905,True,True
678,6.668520864203554,34.91290857862869,True,True
679,6.649658814871739,34.91230930401488,True,True
680,6.644819809143302,34.911745720756926,True,True
681,6.639925825525938,34.91139369648462,True,True
682,6.635692572975094,34.91079822683318,True,True
683,6.632443617651607,34.910267069586475,True,True
684,6.629577061426921,34.90924485360845,True,True
685,6.625959610725717,34.90924485360845,True,True
686,6.625959610725717,34.90924485360845,True,True
687,6.625959610725717,34.91109963464902,True,True
688,6.654849494857297,34.91801903599283,True,True
689,6.654849494857297,34.919017677608174,True,True
690,6.654849494857297,34.919017677608174,True,True
691,6.654580980917724,34.919017677608174,True,True
692,6.617172306435872,34.91511036151287,True,True
693,6.597927757655,34.91135780309382,True,True
694,6.562340859392208,34.9081922824097,True,True
695,6.54725057338228,34.908052603054095,True,True
696,6.54725057338228,34.908052603054095,True,True
697,6.54725057338228,34.9081922824097,True,True
698,6.54516735351665,34.908633797718124,True,True
699,6.530594749933842,34.908633797718124,True,True
700,6.52911037964344,34.90873994946686,True,True
701,6.52232491573644,34.908633797718124,True,True
702,6.517978971258254,34.906615299430584,True,True
703,6.503749184776103,34.90613340842199,True,True
704,6.494812021137441,34.90592856573449,True,True
705,6.485710346416976,34.90590923873357,True,True
706,6.475111915805266,34.90382644030173,True,True
707,6.467623682574535,34.902688024282384,True,True
708,6.457552039581962,34.90216636795269,True,True
709,6.441577710247941,34.90003100363054,True,True
710,6.432604292990126,34.89860928321394,True,True
711,6.427253581331053,34.89857258059966,True,True
712,6.424887260831968,34.89842960272782,True,True
713,6.421267680318072,34.89841497330866,True,True
714,6.421267680318072,34.89841497330866,True,True
715,6.419311187449888,34.89857258059966,True,True
716,6.416571084175176,34.897942111685495,True,True
717,6.416571084175176,34.897942111685495,True,True
718,6.40578575818843,34.897942111685495,True,True
719,6.389918769388903,34.8950618081754,True,True
720,6.359223949394504,34.89322153961313,True,True
721,6.358945076107122,34.89271379585053,True,True
722,6.357321957126809,34.89215476409376,True,True
723,6.351748768442604,34.89193554175061,True,True
724,6.34762781634738,34.89193554175061,True,True
725,6.342636848832699,34.89146822580159,True,True
726,6.321018015044092,34.88733170921431,True,True
727,6.309504234135074,34.88534473675264,True,True
728,6.275655133832496,34.88370603592469,True,True
729,6.240650334323908,34.87621581715362,True,True
730,6.227098962414044,34.87621581715362,True,True
731,6.222185856986576,34.87596813446066,True,True
732,6.217517092537635,34.875867284099186,True,True
733,6.211755061092317,34.87567658690759,True,True
734,6.196811685539654,34.87296456901126,True,True
735,6.192724524552223,34.87163640993372,True,True
736,6.184949841403911,34.86994577422188,True,True
737,6.168514174463261,34.86878922934729,True,True
738,6.165196473610049,34.868535682002175,True,True
739,6.1630457824493226,34.86803471999251,True,True
740,6.158831660693208,34.86775016885137,True,True
741,6.158636881009798,34.86775016885137,True,True
742,6.155051755366054,34.86745129561433,True,True
743,6.152001797982851,34.86745129561433,True,True
744,6.152001797982851,34.868703403776394,True,True
745,6.152001797982851,34.8688500475944,True,True
746,6.153710900456494,34.87221256716063,True,True
747,6.1577121827736025,34.87256025211112,True,True
748,6.182780868552257,34.87290793706161,True,True
749,6.183604275199265,34.87488350787365,True,True
750,6.202311995580025,34.87685907868568,True,True
751,6.202378336607276,34.87685907868568,True,True
752,6.2111377794315885,34.87685907868568,True,True
753,6.19376080738112,34.87685907868568,True,True
